 ,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015
Equatorial Guinea,1045998496.4,1461139022.0,1806742742.3,2484745935.1,4410764338.7,8217369092.7,10086528698.9,13071718758.7,19749893536.3,15027795173.2,16314443436.3,21357343668.9,22388344143.9,21948834283.8,21765453082.0,13185496881.0
Eritrea,706370815.6,752371688.7,729321680.2,870248267.6,1109054005.4,1098424685.7,1211161879.7,1317974491.1,1380188800.0,1856695551.2,1589515447.2,2065001626.0,,,,
Estonia,5686579747.5,6250218422.7,7370119619.5,9876595528.5,12148595031.1,14109491356.8,17025671810.3,22450264166.4,24342935403.5,19633984440.1,19524355419.0,23303915794.8,23237406116.4,25451032780.8,27055689003.0,23311847750.9
Ethiopia,8242349617.9,8231326016.5,7850809498.2,8623691300.0,10131187261.4,12401139454.0,15280861834.6,19707616772.8,27066912635.2,32437389116.0,29933790334.3,31952763089.3,43310721414.1,47648276605.0,55612228233.5,64589328550.6
Faroe Islands,1067109530.6,1160268212.1,1275093689.3,1501941580.9,1724770770.8,1759739599.2,2017680834.9,2339015313.3,2489873249.6,2296065170.1,2331796784.4,2505740669.3,2427200388.9,2690110520.9,2914012679.3,2573905971.1
Fiji,1678219507.9,1652462023.5,1833279985.4,2300492465.3,2708078476.6,2980403844.7,3076305452.9,3378314599.8,3523185919.6,2870624635.7,3140166712.8,3779411899.4,3972028104.5,4189967998.5,4857104791.4,4682479912.1
Finland,125967821110.6,129519672868.9,140360963811.8,171612867735.7,197458297639.8,204859368790.7,217044068234.1,256360251537.6,285698662071.1,253480783439.5,249429613683.3,275126915515.6,257443384493.0,270268036626.3,273478528954.9,233210733506.3
France,1360959069477.5,1370376677298.9,1492427756382.4,1835095983049.1,2109792297237.0,2192146403028.2,2317861544690.8,2655816911866.6,2926802941585.9,2700075882519.0,2646230027988.3,2870408553990.3,2683007095787.2,2816077607875.3,2861236112552.4,2442483452642.5
French Polynesia,3599845480.3,3573808556.3,3965405552.5,4927780606.8,5564109981.9,5705052134.5,5877997979.6,6631156405.6,7136741422.0,6584557973.9,6086644798.6,6203940036.9,5692858099.0,6031827122.6,6151996560.8,5325846361.8
Gabon,5080483628.5,5023265413.3,5335451099.9,6511903365.5,7770219008.2,9582783990.9,10327598306.5,12455409587.3,15571348344.3,12113699068.3,14372593020.3,18210307743.6,17170464016.1,17595744798.3,18203966895.8,14383107762.7
Gambia The,782913871.8,687410645.1,578235309.3,487038685.0,961900651.4,1027701067.6,1054112487.7,1279703047.0,1561766955.7,1450142508.6,1543294926.9,1409693596.9,1415004738.3,1375609453.4,1229461721.4,1378176608.9
Georgia,3057475335.2,3219462262.0,3395766677.7,3991377904.1,5125365192.0,6410912049.9,7745250734.0,10172931088.6,12795145130.9,10766920065.8,12426907967.2,15475290469.3,16894392033.2,17517660143.7,17966015109.3,15223796148.8
Germany,1966980701145.1,1966381496641.7,2102350798305.9,2534715518349.0,2852317768061.8,2893393187361.9,3046308753670.6,3484056680854.9,3808786022312.5,3479800820863.3,3468154343000.0,3824828563521.4,3597896500945.3,3808086291482.4,3965800686309.8,3423568450957.0
Ghana,4982850662.2,5314872854.4,6166197847.9,7632723555.7,8881417906.7,10744568381.4,20885037596.7,24827339138.5,28679383241.1,26048720005.5,32197655566.5,39336668080.6,41271701061.0,62824629066.0,54783319817.4,49406010054.3
Gibraltar,,,,,,,,,,,,,,,,
Greece,125760166224.8,132050474720.0,150253800085.9,196930509813.4,234979615898.2,242315668619.4,269073415333.7,314226996944.1,351121399546.5,326829054686.3,296417644404.0,283228079776.0,238841140018.2,236556279640.7,233911581521.1,194567373678.1
Greenland,1068025016.0,1086170704.0,1169136716.0,1558759823.1,1822499769.2,1849802648.4,2013106929.5,2249811295.7,2499092314.4,2529963903.2,2503167187.5,2684461375.5,2609678486.4,2684946990.1,2842065708.4,2499113022.8
Grenada,520044370.4,520444185.2,540336925.9,591018407.4,599118592.6,695555555.6,698700666.7,758683592.6,825976037.0,771275555.6,771014814.8,778655555.6,799881481.5,842618518.5,911496296.3,997007407.4
Guam,,,3394000000.0,3569000000.0,3869000000.0,4213000000.0,4238000000.0,4397000000.0,4658000000.0,4828000000.0,4949000000.0,4984000000.0,5265000000.0,5399000000.0,5610000000.0,5799000000.0
Guatemala,19288929030.1,18405220247.4,20444205991.0,21576351798.9,23577298094.7,26783389293.9,29744246827.2,33567850824.1,38503720224.3,37126148264.6,40676578423.5,46876006272.2,49593929487.1,52996446269.4,57852153058.5,62186064718.7
Guinea,4367458866.7,4125527603.2,4301608752.5,5025167975.3,5300767960.5,4282468636.9,4220019845.3,6281918226.3,6964179983.2,6716905339.7,6853467145.5,6785137203.3,7638044556.8,8376613539.3,8778473372.8,8794201742.8
Guinea-Bissau,391345597.5,412610871.5,466773711.2,553614800.1,582169841.3,639776040.7,634781901.3,753162998.0,952667544.0,890167833.4,940112538.9,1157074319.2,1049412177.1,1109682824.1,1135250721.0,1152384166.8
Guyana,712667896.7,712167450.2,726131434.7,743063950.3,787814379.2,824880550.3,2379817990.7,2730971595.4,3025187433.3,3165663152.7,3432912516.9,3691384317.5,4063088535.8,4167800928.8,4127660151.8,4279840193.7
Haiti,6813566098.9,6331970324.3,6205847213.6,5071947798.3,6087360684.3,7030149730.3,7638739122.7,9228637767.7,10432962634.9,11597002834.8,11859312725.1,13008746038.9,13708925477.1,14902488604.2,15146883497.6,14849629308.6
Honduras,7186638029.1,7651162302.3,7858255412.9,8230391346.7,8869299234.3,9757012696.6,10917477066.1,12361257680.6,13881731875.7,14587496229.2,15839344592.0,17710275685.4,18528554397.6,18499729214.9,19756533971.9,20979791685.4
Hong Kong SAR China,171668891194.3,169404327616.6,166348866131.0,161385558801.8,169099768875.2,181569311742.2,193535442896.4,211596944503.8,219278749139.7,214047795659.0,228638668727.3,248513617677.3,262628865879.7,275696879835.0,291459995978.9,309385622601.3
Hungary,47218405892.4,53749989092.0,67608919144.4,85285062818.0,104120820258.7,113211158292.9,115715618613.1,140186716681.4,158325614580.6,131069255620.6,132175349953.7,141942264554.5,128814279315.1,135684315697.7,141033843265.7,125174166987.4
Iceland,9025660361.8,8234846804.6,9318395054.9,11429333037.8,13825302535.8,16852963067.0,17465318552.3,21652505596.8,18074622987.0,13154414219.2,13751161917.7,15221622925.9,14751508133.5,16125060515.3,17867662177.9,17517210519.1
India,468395521654.5,485440139204.2,514939140318.8,607700687237.3,709152728830.8,820383763511.4,940259888787.7,1216736438835.0,1198895139005.9,1341888016994.9,1675615519485.0,1823051829894.6,1827637590410.4,1856721507621.6,2039126479154.5,2103588360044.9
Indonesia,165021012077.8,160446947784.9,195660611165.2,234772463823.8,256836875295.5,285868619196.1,364570515618.4,432216737774.9,510228634992.3,539580085612.4,755094157594.5,892969104529.6,917869913364.9,912524136718.0,890814755511.0,860854232717.7
Iran Islamic Rep.,109591707801.4,126878750295.6,128626917504.4,151911222120.3,187754571246.7,224970371328.8,265602187406.2,349736591836.3,406070949550.9,414059094949.6,487069570461.4,629082257472.4,644019315003.5,500399839839.9,462284793280.8,409191686496.7
Iraq,48364250943.9,36176430128.8,32928454672.4,21921569478.8,36633669269.4,50065104667.8,65147051918.0,88837057319.5,131614434153.5,111657580326.3,138516722649.6,185749664444.4,218002476129.5,234637675128.6,228415656175.0,166774104959.1
